%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1431532036363180385,587,1431532036348046064,/odom,-0.49,4.083,-0.181,0.0,0.0,0.0,0.0
1431532037467406389,588,1431532037442944049,/odom,-0.51,3.093,-0.169,0.0,0.0,0.0,0.0
1431532038585548609,589,1431532038543354034,/odom,-0.403,3.202,-0.335,0.0,0.0,0.0,0.0
1431532039617371332,590,1431532039611949920,/odom,0.173,3.034,-0.446,0.0,0.0,0.0,0.0
1431532040732051831,591,1431532040705677986,/odom,0.536,3.474,-0.682,0.0,0.0,0.0,0.0
1431532041798139437,592,1431532041795542001,/odom,-0.736,3.763,-0.501,0.0,0.0,0.0,0.0
1431532042862291541,593,1431532042843720912,/odom,-0.491,3.083,-0.475,0.0,0.0,0.0,0.0
1431532043926325299,594,1431532043920450925,/odom,-0.451,3.5,-0.597,0.0,0.0,0.0,0.0
1431532044990712468,595,1431532044973489999,/odom,1.114,3.509,-0.617,0.0,0.0,0.0,0.0
1431532046057680493,596,1431532046038325071,/odom,0.196,2.794,-0.5,0.0,0.0,0.0,0.0
1431532047171516339,597,1431532047126703023,/odom,-0.304,3.209,-0.208,0.0,0.0,0.0,0.0
1431532048203715115,598,1431532048190108060,/odom,-0.13,2.55,-0.11,0.0,0.0,0.0,0.0
1431532049318466502,599,1431532049289994001,/odom,0.259,3.723,-0.188,0.0,0.0,0.0,0.0
1431532050335664085,600,1431532050334072113,/odom,-0.059,2.453,-0.272,0.0,0.0,0.0,0.0
1431532051451379500,601,1431532051412848949,/odom,0.238,4.397,-0.289,0.0,0.0,0.0,0.0
1431532052484704281,602,1431532052480726003,/odom,-0.084,3.009,-0.472,0.0,0.0,0.0,0.0
1431532053549784864,603,1431532053548727989,/odom,0.442,3.374,-0.389,0.0,0.0,0.0,0.0
1431532054613623406,604,1431532054595860004,/odom,0.106,3.344,-0.415,0.0,0.0,0.0,0.0
1431532055679263930,605,1431532055656987905,/odom,0.017,2.268,-0.27,0.0,0.0,0.0,0.0
1431532056793678551,606,1431532056774765968,/odom,-0.338,3.072,-0.263,0.0,0.0,0.0,0.0
1431532057857707808,607,1431532057841260910,/odom,0.022,2.451,-0.28,0.0,0.0,0.0,0.0
1431532058973164079,608,1431532058934896945,/odom,-0.097,3.132,-0.4,0.0,0.0,0.0,0.0
1431532060004810503,609,1431532059999497890,/odom,-0.36,2.822,-0.189,0.0,0.0,0.0,0.0
1431532061123549450,610,1431532061106647968,/odom,-0.586,2.302,-0.247,0.0,0.0,0.0,0.0
1431532062189079022,611,1431532062187653064,/odom,-0.573,2.998,-0.319,0.0,0.0,0.0,0.0
1431532063257229608,612,1431532063246529102,/odom,-0.214,2.716,-0.204,0.0,0.0,0.0,0.0
1431532064380695240,613,1431532064341559886,/odom,-0.695,2.229,-0.298,0.0,0.0,0.0,0.0
1431532065440631392,614,1431532065414423942,/odom,-0.784,2.408,-0.112,0.0,0.0,0.0,0.0
1431532066555706332,615,1431532066515352964,/odom,-0.394,1.995,-0.188,0.0,0.0,0.0,0.0
1431532067619781920,616,1431532067616178035,/odom,-0.031,2.95,-0.303,0.0,0.0,0.0,0.0
1431532068736096820,617,1431532068695130109,/odom,0.33,3.862,-0.62,0.0,0.0,0.0,0.0
1431532069801120454,618,1431532069795077085,/odom,0.205,2.828,0.092,0.0,0.0,0.0,0.0
1431532070869133423,619,1431532070854094982,/odom,-0.505,1.981,-0.151,0.0,0.0,0.0,0.0
1431532071983359329,620,1431532071955168962,/odom,-0.923,2.658,-0.419,0.0,0.0,0.0,0.0
1431532073098369976,621,1431532073052880048,/odom,-0.671,2.629,-0.346,0.0,0.0,0.0,0.0
1431532074107965386,622,1431532074106760025,/odom,-0.776,3.064,-0.347,0.0,0.0,0.0,0.0
1431532075222113617,623,1431532075205509901,/odom,0.059,3.189,-0.418,0.0,0.0,0.0,0.0
1431532076336356075,624,1431532076289330959,/odom,0.115,3.308,-0.643,0.0,0.0,0.0,0.0
1431532077344051868,625,1431532077342264890,/odom,-0.129,2.721,-0.515,0.0,0.0,0.0,0.0
1431532078457926672,626,1431532078438035964,/odom,-0.306,2.895,-0.57,0.0,0.0,0.0,0.0
1431532079522329049,627,1431532079515614986,/odom,0.08,2.672,-0.204,0.0,0.0,0.0,0.0
1431532080637078925,628,1431532080594532012,/odom,0.022,2.393,-0.136,0.0,0.0,0.0,0.0
1431532081702706111,629,1431532081675503969,/odom,0.176,2.468,-0.104,0.0,0.0,0.0,0.0
1431532082766810614,630,1431532082738528013,/odom,-0.558,3.387,-0.862,0.0,0.0,0.0,0.0
1431532083832625250,631,1431532083800398111,/odom,-0.317,3.346,-0.524,0.0,0.0,0.0,0.0
1431532084840389157,632,1431532084837898015,/odom,-0.051,2.995,-0.428,0.0,0.0,0.0,0.0
1431532089726774251,633,1431532089709779024,/odom,-0.026,3.271,-0.546,0.0,0.0,0.0,0.0
1431532090792071991,634,1431532090760762929,/odom,0.868,3.102,-0.449,0.0,0.0,0.0,0.0
1431532091855979924,635,1431532091848779916,/odom,1.364,3.851,-0.483,0.0,0.0,0.0,0.0
1431532092919664849,636,1431532092917656898,/odom,0.945,3.749,-0.353,0.0,0.0,0.0,0.0
1431532094038467855,637,1431532093993649959,/odom,0.37,3.121,-0.244,0.0,0.0,0.0,0.0
1431532095039527163,638,1431532095014962911,/odom,1.201,3.227,-0.326,0.0,0.0,0.0,0.0
1431532096153749829,639,1431532096108670949,/odom,0.847,3.225,-0.431,0.0,0.0,0.0,0.0
1431532097217607669,640,1431532097203618049,/odom,1.314,3.581,-0.198,0.0,0.0,0.0,0.0
1431532098336834438,641,1431532098304558992,/odom,1.011,3.008,-0.16,0.0,0.0,0.0,0.0
1431532099403713517,642,1431532099377455949,/odom,0.225,2.421,-0.074,0.0,0.0,0.0,0.0
1431532100467548542,643,1431532100456573009,/odom,0.29,3.038,-0.259,0.0,0.0,0.0,0.0
1431532101581598555,644,1431532101553493022,/odom,0.792,3.145,-0.504,0.0,0.0,0.0,0.0
1431532102699844553,645,1431532102654421091,/odom,1.014,2.476,-0.432,0.0,0.0,0.0,0.0
1431532103764348945,646,1431532103744242906,/odom,0.983,2.973,-0.438,0.0,0.0,0.0,0.0
1431532104829618335,647,1431532104811280012,/odom,1.28,2.943,-0.309,0.0,0.0,0.0,0.0
1431532105893479737,648,1431532105872345924,/odom,1.504,3.149,-0.457,0.0,0.0,0.0,0.0
1431532106961079192,649,1431532106949934959,/odom,1.137,3.575,-0.432,0.0,0.0,0.0,0.0
1431532108077413629,650,1431532108042978048,/odom,2.119,2.715,-0.436,0.0,0.0,0.0,0.0
1431532109143053813,651,1431532109138844966,/odom,2.075,3.326,-0.47,0.0,0.0,0.0,0.0
1431532110256971067,652,1431532110221760988,/odom,2.21,3.442,-0.511,0.0,0.0,0.0,0.0
1431532111322512951,653,1431532111306652069,/odom,1.695,2.49,-0.578,0.0,0.0,0.0,0.0
1431532112436340603,654,1431532112404329061,/odom,1.25,-2.046,2.594,0.0,0.0,0.0,0.0
1431532113503567814,655,1431532113474386930,/odom,1.981,2.312,-0.781,0.0,0.0,0.0,0.0
1431532114537759432,656,1431532114525589942,/odom,2.937,2.127,-1.156,0.0,0.0,0.0,0.0
1431532115655251102,657,1431532115617492914,/odom,2.079,3.355,-0.737,0.0,0.0,0.0,0.0
1431532116686915035,658,1431532116675034046,/odom,2.852,2.608,-0.709,0.0,0.0,0.0,0.0
1431532117801538489,659,1431532117762324094,/odom,3.275,2.202,-0.592,0.0,0.0,0.0,0.0
1431532118866116114,660,1431532118853274106,/odom,2.347,2.975,-0.889,0.0,0.0,0.0,0.0
1431532119981094884,661,1431532119949791908,/odom,3.087,2.495,-0.662,0.0,0.0,0.0,0.0
1431532121045984527,662,1431532121020138978,/odom,3.184,1.527,-0.692,0.0,0.0,0.0,0.0
1431532122114559525,663,1431532122108027935,/odom,2.456,1.815,-2.182,0.0,0.0,0.0,0.0
1431532123229706635,664,1431532123191796064,/odom,3.379,2.768,-0.791,0.0,0.0,0.0,0.0
1431532124296276157,665,1431532124285785913,/odom,2.627,2.409,-0.596,0.0,0.0,0.0,0.0
1431532125413479723,666,1431532125372349023,/odom,2.967,2.718,-0.934,0.0,0.0,0.0,0.0
1431532126430350823,667,1431532126429923057,/odom,2.823,2.811,-1.01,0.0,0.0,0.0,0.0
1431532127549872801,668,1431532127514673948,/odom,3.456,1.975,-0.563,0.0,0.0,0.0,0.0
1431532128614227592,669,1431532128603641033,/odom,3.472,2.569,-0.883,0.0,0.0,0.0,0.0
1431532129728823857,670,1431532129694792032,/odom,2.719,2.368,-0.962,0.0,0.0,0.0,0.0
1431532130845325684,671,1431532130795329093,/odom,2.846,2.147,-0.944,0.0,0.0,0.0,0.0
1431532131906920875,672,1431532131882210016,/odom,3.743,2.201,-0.774,0.0,0.0,0.0,0.0
1431532133024273494,673,1431532132981079101,/odom,2.612,3.048,-0.521,0.0,0.0,0.0,0.0
1431532134056013950,674,1431532134054317951,/odom,3.107,1.869,-0.738,0.0,0.0,0.0,0.0
1431532135174552162,675,1431532135138972997,/odom,4.257,2.543,-0.273,0.0,0.0,0.0,0.0
1431532136238291469,676,1431532136232845067,/odom,3.717,3.055,-0.867,0.0,0.0,0.0,0.0
1431532137302823447,677,1431532137276858091,/odom,2.86,2.605,-0.8,0.0,0.0,0.0,0.0
1431532138367060947,678,1431532138353074073,/odom,3.005,2.226,-0.638,0.0,0.0,0.0,0.0
1431532139481842164,679,1431532139443675041,/odom,3.109,2.098,-0.522,0.0,0.0,0.0,0.0
1431532140545579469,680,1431532140520510911,/odom,2.835,2.136,-0.909,0.0,0.0,0.0,0.0
1431532141661110796,681,1431532141625173091,/odom,3.293,2.88,-1.111,0.0,0.0,0.0,0.0
1431532142725316515,682,1431532142700437068,/odom,3.564,2.208,-0.465,0.0,0.0,0.0,0.0
1431532143845826205,683,1431532143800801992,/odom,3.389,2.032,-0.623,0.0,0.0,0.0,0.0
1431532144910672579,684,1431532144887896060,/odom,3.364,2.221,-0.576,0.0,0.0,0.0,0.0
1431532146024729316,685,1431532145987253904,/odom,3.835,2.464,-0.498,0.0,0.0,0.0,0.0
1431532147138729579,686,1431532147088016033,/odom,3.197,3.325,-1.211,0.0,0.0,0.0,0.0
1431532148170740929,687,1431532148168942928,/odom,2.904,2.691,-0.516,0.0,0.0,0.0,0.0
1431532149295686009,688,1431532149259789943,/odom,3.193,2.586,-0.762,0.0,0.0,0.0,0.0
1431532150365490633,689,1431532150350811958,/odom,3.121,3.164,-0.832,0.0,0.0,0.0,0.0
1431532151479619927,690,1431532151444545030,/odom,2.805,3.647,-0.903,0.0,0.0,0.0,0.0
1431532152547566182,691,1431532152539560079,/odom,3.352,2.731,-0.685,0.0,0.0,0.0,0.0
1431532153661592732,692,1431532153623436927,/odom,2.773,2.911,-0.831,0.0,0.0,0.0,0.0
1431532154727030632,693,1431532154720451116,/odom,2.606,2.838,1.811,0.0,0.0,0.0,0.0
1431532155843599136,694,1431532155815304994,/odom,3.583,3.017,-0.744,0.0,0.0,0.0,0.0
1431532156909326226,695,1431532156903079986,/odom,3.156,3.428,-1.024,0.0,0.0,0.0,0.0
1431532157975994870,696,1431532157946199893,/odom,3.218,2.737,-0.871,0.0,0.0,0.0,0.0
1431532159090090529,697,1431532159051608085,/odom,2.746,2.834,-1.009,0.0,0.0,0.0,0.0
1431532160156713745,698,1431532160127953052,/odom,3.131,3.332,-0.894,0.0,0.0,0.0,0.0
1431532161223674453,699,1431532161221837043,/odom,2.949,3.235,-0.946,0.0,0.0,0.0,0.0
1431532162338563727,700,1431532162308731079,/odom,3.34,2.684,-0.888,0.0,0.0,0.0,0.0
1431532163452555218,701,1431532163407849073,/odom,2.978,3.061,-0.7,0.0,0.0,0.0,0.0
1431532164527486170,702,1431532164500802040,/odom,3.174,3.384,-1.183,0.0,0.0,0.0,0.0
1431532165636677421,703,1431532165591604948,/odom,3.08,3.942,-0.842,0.0,0.0,0.0,0.0
1431532166700137862,704,1431532166685381889,/odom,3.345,3.48,-0.745,0.0,0.0,0.0,0.0
1431532167817090940,705,1431532167785289049,/odom,2.265,3.792,-0.574,0.0,0.0,0.0,0.0
1431532168886042294,706,1431532168851274013,/odom,3.65,2.709,-0.829,0.0,0.0,0.0,0.0
1431532169948451496,707,1431532169918112039,/odom,2.743,3.095,-0.792,0.0,0.0,0.0,0.0
1431532171013167984,708,1431532171004949092,/odom,2.993,3.145,-0.832,0.0,0.0,0.0,0.0
1431532172128534026,709,1431532172104882955,/odom,2.85,3.265,-0.824,0.0,0.0,0.0,0.0
1431532173194754732,710,1431532173193980932,/odom,3.166,3.312,-1.353,0.0,0.0,0.0,0.0
1431532174311420344,711,1431532174284792900,/odom,3.29,3.507,-0.872,0.0,0.0,0.0,0.0
1431532175426176929,712,1431532175381330966,/odom,3.848,2.427,-1.154,0.0,0.0,0.0,0.0
1431532176491746913,713,1431532176466913938,/odom,3.197,3.834,-0.522,0.0,0.0,0.0,0.0
1431532177605576062,714,1431532177565418004,/odom,3.005,3.745,-0.533,0.0,0.0,0.0,0.0
1431532178671535622,715,1431532178652275085,/odom,2.662,4.531,-0.782,0.0,0.0,0.0,0.0
1431532179786196761,716,1431532179743220090,/odom,3.234,3.796,-1.208,0.0,0.0,0.0,0.0
1431532180852409380,717,1431532180834057092,/odom,3.353,3.467,-0.86,0.0,0.0,0.0,0.0
1431532181969250151,718,1431532181928090095,/odom,3.278,3.431,-1.156,0.0,0.0,0.0,0.0
1431532183040816851,719,1431532183021807909,/odom,1.911,4.233,-0.809,0.0,0.0,0.0,0.0
1431532184152898570,720,1431532184110544919,/odom,2.036,4.567,-0.839,0.0,0.0,0.0,0.0
1431532185170201498,721,1431532185164567947,/odom,3.027,4.645,-1.058,0.0,0.0,0.0,0.0
1431532186286378380,722,1431532186243685007,/odom,2.498,4.528,-1.47,0.0,0.0,0.0,0.0
1431532187319691783,723,1431532187303445100,/odom,2.483,4.111,-0.998,0.0,0.0,0.0,0.0
1431532188387387909,724,1431532188383610963,/odom,1.476,4.396,-0.635,0.0,0.0,0.0,0.0
1431532189453295406,725,1431532189435621976,/odom,2.79,3.8,-1.201,0.0,0.0,0.0,0.0
1431532190523321579,726,1431532190504334926,/odom,2.528,3.899,-1.36,0.0,0.0,0.0,0.0
1431532191589151473,727,1431532191582256078,/odom,2.929,3.94,-0.754,0.0,0.0,0.0,0.0
1431532192706498456,728,1431532192656300067,/odom,2.13,4.933,-0.769,0.0,0.0,0.0,0.0
1431532193723758136,729,1431532193715554952,/odom,1.882,4.502,-1.731,0.0,0.0,0.0,0.0
1431532194840588825,730,1431532194820566892,/odom,2.566,4.087,-1.288,0.0,0.0,0.0,0.0
1431532195876628514,731,1431532195864979982,/odom,2.382,4.069,-0.801,0.0,0.0,0.0,0.0
1431532196938630266,732,1431532196930536031,/odom,3.64,3.976,-1.28,0.0,0.0,0.0,0.0
1431532198054822135,733,1431532198019530057,/odom,2.753,4.504,-1.17,0.0,0.0,0.0,0.0
1431532199119097922,734,1431532199102890014,/odom,2.84,4.406,-0.5,0.0,0.0,0.0,0.0
1431532200152910134,735,1431532200149893999,/odom,1.629,5.028,-0.797,0.0,0.0,0.0,0.0
1431532201268452226,736,1431532201235757112,/odom,3.482,4.53,-1.551,0.0,0.0,0.0,0.0
1431532202301065233,737,1431532202288769960,/odom,3.206,3.992,-1.105,0.0,0.0,0.0,0.0
1431532203334171516,738,1431532203328777074,/odom,1.977,5.355,-1.236,0.0,0.0,0.0,0.0
1431532204398717681,739,1431532204386322975,/odom,2.856,5.018,-1.019,0.0,0.0,0.0,0.0
1431532205463953183,740,1431532205455761909,/odom,1.789,5.049,-1.026,0.0,0.0,0.0,0.0
1431532206527953176,741,1431532206516350984,/odom,1.905,4.787,-1.793,0.0,0.0,0.0,0.0
1431532207644222652,742,1431532207599647998,/odom,2.45,4.014,-1.877,0.0,0.0,0.0,0.0
1431532208660076394,743,1431532208652777910,/odom,2.996,4.067,-1.38,0.0,0.0,0.0,0.0
1431532209693248297,744,1431532209692832946,/odom,2.886,3.956,-1.998,0.0,0.0,0.0,0.0
1431532210725217901,745,1431532210724033117,/odom,0.802,5.738,-1.044,0.0,0.0,0.0,0.0
1431532211841006894,746,1431532211813827037,/odom,1.444,4.512,-1.163,0.0,0.0,0.0,0.0
1431532212905273178,747,1431532212889311075,/odom,0.347,5.438,-1.167,0.0,0.0,0.0,0.0
